RepWeekDate,CoVHKU1,CoVNL63,CoVOC43,CoV229E
05/06/17,0.1164314,0.4366177,0.4511716,0.4366177
05/13/17,0.2296036,0.5663554,0.5969692,0.3826726
05/20/17,0.1520219,0.3040438,0.4560657,0.3800547
05/27/17,0.0541908,0.3973988,0.5238439,0.3432081
06/03/17,0.1182965,0.4337539,0.5717666,0.1774448
06/10/17,0.0830392,0.2075981,0.3944364,0.1453187
06/17/17,0.0652742,0.2393386,0.1305483,0.0217581
06/24/17,0.0948992,0.1423488,0.1897983,0.0948992
07/01/17,0.0591191,0.1182383,0.3251552,0.0295596
07/08/17,0.2186987,0.1640241,0.3553855,0.082012
07/15/17,0.0265111,0.3181336,0.397667,0.0530223
07/22/17,0.1060164,0.238537,0.3975616,0.1060164
07/29/17,0.0835422,0.2227792,0.2506266,0.0556948
08/05/17,0.0892061,0.416295,0.2081475,0.0594707
08/12/17,0.1454334,0.2908668,0.2326934,0.0290867
08/19/17,0.0250941,0.5520703,0.2258469,0.0501882
08/26/17,0.1233959,0.3208292,0.148075,0
09/02/17,0.0881834,0.6613757,0.1984127,0.0220459
09/09/17,0.1092896,0.5245902,0.1530055,0.0437158
09/16/17,0.0545852,0.4548763,0.1091703,0.0545852
09/23/17,0.0703977,0.5279831,0.1759944,0.0351989
09/30/17,0.1181235,0.6918664,0.1856227,0.0506244
10/07/17,0.0961693,0.7693541,0.2083667,0.0160282
10/14/17,0.1596424,0.7822478,0.1915709,0
10/21/17,0.2543007,0.8825729,0.2842184,0.0299177
10/28/17,0.4600345,1.1357102,0.5894192,0.0143761
11/04/17,0.6491674,1.2136607,0.508044,0.0141123
11/11/17,0.7198953,1.8324607,0.8900524,0.026178
11/18/17,0.8238672,2.3842217,1.1858694,0.0499313
11/25/17,0.9204561,2.7888446,1.3600769,0.0274763
12/02/17,1.632927,4.0040264,1.5770048,0.156582
12/09/17,1.5153191,4.1698927,1.7475943,0.0331822
12/16/17,1.9563319,5.0305677,1.7030568,0.0262009
12/23/17,2.8547154,5.4120646,2.6338148,0.0509771
12/30/17,3.241335,5.1428113,2.5754172,0.072208
01/06/18,3.257885,4.3042672,2.1521336,0.0445269
